#A394518
#Sierpinski numbers that have at least three covering sets
#Format: k|C1|C2|C3

1 56889499253|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,37,109}
2 105839880557|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
3 111056109533|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
4 129119577739|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,37,109}
5 241164896747|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
6 389221827287|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
7 392517991487|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|3,5,7,13,19,37,109}
8 418189826521|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|3,5,7,13,19,37,109}
9 442232779217|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|3,5,7,13,19,73,109}
10 541031900449|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|3,5,7,13,19,73,109}
11 565496364383|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|3,5,7,13,19,37,109}
12 566466791243|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|3,5,7,13,19,37,109}
13 571344103879|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|3,5,7,13,19,73,109}
14 645163729201|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
15 667207953649|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
16 671724886997|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
17 673415615521|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
18 679136613949|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,37,109}
19 679833144947|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
20 685049373923|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,37,73,109}
21 692184791119|{3,5,7,13,17,241}|{3,5,7,13,37,73,109}|{3,5,7,13,19,37,109}
22 725510593219|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
23 815158161137|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,73,109}
24 883645211959|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
25 929744009963|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
26 945007528891|{3,5,7,13,17,241}|{3,5,7,13,19,37,73}|{3,5,7,13,19,37,109}
27 990650710493|{3,5,7,13,17,241}|{3,5,7,13,19,73,109}|{3,5,7,13,19,37,109}
